product_id,name,category,subcategory,price,stock,initial_rating,added_date,description
37,HP Ordinateurs Laptop Lite,Ordinateurs,Laptop,1723.25,12,3.7,2024-11-03 10:25:45.743084,Premium HP Ordinateurs Laptop Lite. Haute performance. Idéal pour laptop. Catégorie Ordinateurs.
38,Sony Ordinateurs Ultrabook Pro,Ordinateurs,Ultrabook,2671.47,35,4.4,2023-12-24 10:25:45.743084,Compact Sony Ordinateurs Ultrabook Pro. Interface intuitive. Idéal pour ultrabook. Catégorie Ordinateurs.
39,Lenovo Accessoires Cable Max,Accessoires,Cable,172.81,462,4.1,2024-08-27 10:25:45.743084,Performant Lenovo Accessoires Cable Max. Design moderne. Idéal pour cable. Catégorie Accessoires.
40,Acer Audio Enceinte Pro,Audio,Enceinte,413.4,69,4.7,2024-08-29 10:25:45.743084,Performant Acer Audio Enceinte Pro. Design moderne. Idéal pour enceinte. Catégorie Audio.
41,LG Smartphones Feature Phone Plus,Smartphones,Feature Phone,279.82,288,4.1,2025-04-30 10:25:45.743084,Performant LG Smartphones Feature Phone Plus. Interface intuitive. Idéal pour feature phone. Catégorie Smartphones.
42,Apple Gaming PC Gaming Pro,Gaming,PC Gaming,644.72,104,4.5,2025-08-20 10:25:45.743084,Compact Apple Gaming PC Gaming Pro. Longue autonomie. Idéal pour pc gaming. Catégorie Gaming.
43,Acer Audio Écouteurs Lite,Audio,Écouteurs,441.51,203,4.0,2024-01-22 10:25:45.743084,Performant Acer Audio Écouteurs Lite. Longue autonomie. Idéal pour écouteurs. Catégorie Audio.
44,Acer Smart Home Alarme Plus,Smart Home,Alarme,454.55,312,3.8,2025-04-14 10:25:45.743084,Élégant Acer Smart Home Alarme Plus. Connectivité avancée. Idéal pour alarme. Catégorie Smart Home.
45,Sony Smartphones Android Pro,Smartphones,Android,795.49,54,4.1,2024-05-21 10:25:45.743084,Innovant Sony Smartphones Android Pro. Design moderne. Idéal pour android. Catégorie Smartphones.
46,HP Gaming Jeux Plus,Gaming,Jeux,992.07,106,4.4,2025-08-09 10:25:45.743084,Premium HP Gaming Jeux Plus. Design moderne. Idéal pour jeux. Catégorie Gaming.
47,Xiaomi Ordinateurs Workstation Pro,Ordinateurs,Workstation,937.85,140,4.5,2024-05-10 10:25:45.743084,Premium Xiaomi Ordinateurs Workstation Pro. Longue autonomie. Idéal pour workstation. Catégorie Ordinateurs.
48,Acer Audio Écouteurs Max,Audio,Écouteurs,485.15,224,4.4,2024-02-09 10:25:45.743084,Performant Acer Audio Écouteurs Max. Connectivité avancée. Idéal pour écouteurs. Catégorie Audio.
49,Apple Accessoires Cable Pro,Accessoires,Cable,50.5,306,5.0,2025-07-10 10:25:45.743084,Révolutionnaire Apple Accessoires Cable Pro. Haute performance. Idéal pour cable. Catégorie Accessoires.
50,Sony Accessoires Cable Plus,Accessoires,Cable,46.28,347,4.5,2024-04-24 10:25:45.743084,Compact Sony Accessoires Cable Plus. Interface intuitive. Idéal pour cable. Catégorie Accessoires.
51,Asus Gaming PC Gaming Pro,Gaming,PC Gaming,1389.31,308,4.9,2025-05-14 10:25:45.743084,Performant Asus Gaming PC Gaming Pro. Design moderne. Idéal pour pc gaming. Catégorie Gaming.
52,Lenovo Ordinateurs Ultrabook Lite,Ordinateurs,Ultrabook,1107.11,35,3.7,2024-09-30 10:25:45.743084,Élégant Lenovo Ordinateurs Ultrabook Lite. Haute performance. Idéal pour ultrabook. Catégorie Ordinateurs.
53,HP Accessoires Housse Max,Accessoires,Housse,188.37,132,3.6,2024-09-23 10:25:45.743084,Compact HP Accessoires Housse Max. Connectivité avancée. Idéal pour housse. Catégorie Accessoires.
54,Asus Smartphones Android Max,Smartphones,Android,214.18,374,4.0,2024-09-08 10:25:45.743084,Innovant Asus Smartphones Android Max. Longue autonomie. Idéal pour android. Catégorie Smartphones.
55,Xiaomi Gaming Console Plus,Gaming,Console,210.36,24,3.7,2024-08-08 10:25:45.743084,Performant Xiaomi Gaming Console Plus. Longue autonomie. Idéal pour console. Catégorie Gaming.
56,Apple Ordinateurs Desktop Lite,Ordinateurs,Desktop,1762.19,336,4.3,2024-11-10 10:25:45.743084,Performant Apple Ordinateurs Desktop Lite. Longue autonomie. Idéal pour desktop. Catégorie Ordinateurs.
57,Sony Gaming Console Plus,Gaming,Console,1078.51,36,4.3,2024-02-11 10:25:45.743084,Compact Sony Gaming Console Plus. Haute performance. Idéal pour console. Catégorie Gaming.
58,Dell Gaming Manette Pro,Gaming,Manette,494.06,18,4.4,2025-05-05 10:25:45.743084,Performant Dell Gaming Manette Pro. Longue autonomie. Idéal pour manette. Catégorie Gaming.
59,Xiaomi Gaming Manette Lite,Gaming,Manette,1090.14,34,4.6,2025-06-20 10:25:45.743084,Révolutionnaire Xiaomi Gaming Manette Lite. Longue autonomie. Idéal pour manette. Catégorie Gaming.
60,Asus Smartphones Feature Phone Max,Smartphones,Feature Phone,735.16,362,5.0,2024-10-30 10:25:45.743084,Polyvalent Asus Smartphones Feature Phone Max. Longue autonomie. Idéal pour feature phone. Catégorie Smartphones.
61,Asus Audio Écouteurs Lite,Audio,Écouteurs,448.45,417,4.8,2024-03-31 10:25:45.743084,Innovant Asus Audio Écouteurs Lite. Longue autonomie. Idéal pour écouteurs. Catégorie Audio.
62,HP Ordinateurs Ultrabook Standard,Ordinateurs,Ultrabook,523.13,309,3.7,2023-11-18 10:25:45.743084,Puissant HP Ordinateurs Ultrabook Standard. Haute performance. Idéal pour ultrabook. Catégorie Ordinateurs.
63,Lenovo Gaming Console Standard,Gaming,Console,1957.29,429,4.0,2024-03-24 10:25:45.743084,Premium Lenovo Gaming Console Standard. Longue autonomie. Idéal pour console. Catégorie Gaming.
64,Sony Photo Appareil Photo Max,Photo,Appareil Photo,3234.65,5,3.9,2025-04-18 10:25:45.743084,Révolutionnaire Sony Photo Appareil Photo Max. Haute performance. Idéal pour appareil photo. Catégorie Photo.
65,Xiaomi Accessoires Souris Max,Accessoires,Souris,38.85,466,3.8,2024-08-19 10:25:45.743084,Performant Xiaomi Accessoires Souris Max. Interface intuitive. Idéal pour souris. Catégorie Accessoires.
66,Acer Photo Stabilisateur Standard,Photo,Stabilisateur,519.77,384,4.3,2024-11-20 10:25:45.743084,Innovant Acer Photo Stabilisateur Standard. Design moderne. Idéal pour stabilisateur. Catégorie Photo.
67,Lenovo Ordinateurs Desktop Pro,Ordinateurs,Desktop,1845.26,198,4.3,2025-03-15 10:25:45.743084,Innovant Lenovo Ordinateurs Desktop Pro. Haute performance. Idéal pour desktop. Catégorie Ordinateurs.
68,Asus Accessoires Housse Plus,Accessoires,Housse,54.63,33,3.8,2024-12-30 10:25:45.743084,Innovant Asus Accessoires Housse Plus. Haute performance. Idéal pour housse. Catégorie Accessoires.
69,Xiaomi Smartphones Android Max,Smartphones,Android,591.52,55,4.6,2024-10-18 10:25:45.743084,Innovant Xiaomi Smartphones Android Max. Connectivité avancée. Idéal pour android. Catégorie Smartphones.
70,Dell Composants RAM Standard,Composants,RAM,528.01,255,4.6,2024-04-19 10:25:45.743084,Compact Dell Composants RAM Standard. Haute performance. Idéal pour ram. Catégorie Composants.
71,Sony Gaming Jeux Lite,Gaming,Jeux,1370.31,210,3.5,2024-02-17 10:25:45.743084,Polyvalent Sony Gaming Jeux Lite. Haute performance. Idéal pour jeux. Catégorie Gaming.
72,Apple Photo Objectif Standard,Photo,Objectif,2901.59,96,4.1,2024-06-15 10:25:45.743084,Compact Apple Photo Objectif Standard. Haute performance. Idéal pour objectif. Catégorie Photo.
73,LG Smart Home Caméra Plus,Smart Home,Caméra,85.09,281,4.8,2024-04-11 10:25:45.743084,Innovant LG Smart Home Caméra Plus. Longue autonomie. Idéal pour caméra. Catégorie Smart Home.
74,Apple Tablettes Android Tablet Standard,Tablettes,Android Tablet,702.85,488,4.3,2025-04-03 10:25:45.743084,Compact Apple Tablettes Android Tablet Standard. Design moderne. Idéal pour android tablet. Catégorie Tablettes.
75,Sony Wearables Smartwatch Standard,Wearables,Smartwatch,653.83,240,4.0,2024-06-18 10:25:45.743084,Compact Sony Wearables Smartwatch Standard. Longue autonomie. Idéal pour smartwatch. Catégorie Wearables.
76,HP Tablettes Android Tablet Max,Tablettes,Android Tablet,235.25,169,3.9,2024-05-15 10:25:45.743084,Élégant HP Tablettes Android Tablet Max. Design moderne. Idéal pour android tablet. Catégorie Tablettes.
77,Samsung Photo Objectif Standard,Photo,Objectif,4481.77,346,3.9,2025-05-30 10:25:45.743084,Innovant Samsung Photo Objectif Standard. Connectivité avancée. Idéal pour objectif. Catégorie Photo.
78,LG Photo Drone Plus,Photo,Drone,3018.04,293,3.6,2025-07-25 10:25:45.743084,Révolutionnaire LG Photo Drone Plus. Longue autonomie. Idéal pour drone. Catégorie Photo.
79,Asus Ordinateurs Laptop Lite,Ordinateurs,Laptop,2876.56,409,4.7,2025-04-26 10:25:45.743084,Premium Asus Ordinateurs Laptop Lite. Haute performance. Idéal pour laptop. Catégorie Ordinateurs.
80,Asus Tablettes Android Tablet Plus,Tablettes,Android Tablet,305.55,226,3.6,2025-05-02 10:25:45.743084,Polyvalent Asus Tablettes Android Tablet Plus. Connectivité avancée. Idéal pour android tablet. Catégorie Tablettes.
81,Acer Ordinateurs Laptop Max,Ordinateurs,Laptop,2983.91,314,3.9,2025-05-22 10:25:45.743084,Compact Acer Ordinateurs Laptop Max. Design moderne. Idéal pour laptop. Catégorie Ordinateurs.
82,Sony Composants Processeur Lite,Composants,Processeur,1306.33,126,3.6,2024-02-29 10:25:45.743084,Innovant Sony Composants Processeur Lite. Connectivité avancée. Idéal pour processeur. Catégorie Composants.
83,Sony Ordinateurs Workstation Pro,Ordinateurs,Workstation,1918.74,467,4.7,2025-01-05 10:25:45.743084,Performant Sony Ordinateurs Workstation Pro. Interface intuitive. Idéal pour workstation. Catégorie Ordinateurs.
84,Samsung Accessoires Housse Standard,Accessoires,Housse,107.9,279,3.6,2025-02-18 10:25:45.743084,Premium Samsung Accessoires Housse Standard. Interface intuitive. Idéal pour housse. Catégorie Accessoires.
85,Samsung Gaming Jeux Pro,Gaming,Jeux,242.58,366,4.0,2024-01-22 10:25:45.743084,Innovant Samsung Gaming Jeux Pro. Design moderne. Idéal pour jeux. Catégorie Gaming.
86,Lenovo Smartphones iPhone Plus,Smartphones,iPhone,1421.53,20,4.4,2024-03-03 10:25:45.743084,Puissant Lenovo Smartphones iPhone Plus. Haute performance. Idéal pour iphone. Catégorie Smartphones.
87,Apple Accessoires Clavier Plus,Accessoires,Clavier,132.36,315,4.1,2024-03-18 10:25:45.743084,Élégant Apple Accessoires Clavier Plus. Interface intuitive. Idéal pour clavier. Catégorie Accessoires.
88,Samsung Audio Casque Bluetooth Lite,Audio,Casque Bluetooth,73.06,245,3.9,2023-11-22 10:25:45.743084,Premium Samsung Audio Casque Bluetooth Lite. Longue autonomie. Idéal pour casque bluetooth. Catégorie Audio.
89,HP Smartphones Feature Phone Pro,Smartphones,Feature Phone,227.24,89,3.9,2025-03-10 10:25:45.743084,Révolutionnaire HP Smartphones Feature Phone Pro. Interface intuitive. Idéal pour feature phone. Catégorie Smartphones.
90,Apple Gaming PC Gaming Standard,Gaming,PC Gaming,291.41,403,4.7,2024-10-26 10:25:45.743084,Révolutionnaire Apple Gaming PC Gaming Standard. Haute performance. Idéal pour pc gaming. Catégorie Gaming.
91,LG Smartphones Feature Phone Lite,Smartphones,Feature Phone,992.21,5,5.0,2024-09-19 10:25:45.743084,Polyvalent LG Smartphones Feature Phone Lite. Haute performance. Idéal pour feature phone. Catégorie Smartphones.
92,Asus Smartphones iPhone Standard,Smartphones,iPhone,998.22,450,4.0,2024-11-10 10:25:45.743084,Puissant Asus Smartphones iPhone Standard. Haute performance. Idéal pour iphone. Catégorie Smartphones.
93,Acer Accessoires Cable Max,Accessoires,Cable,104.94,265,3.6,2024-03-26 10:25:45.743084,Innovant Acer Accessoires Cable Max. Connectivité avancée. Idéal pour cable. Catégorie Accessoires.
94,Apple Accessoires Souris Max,Accessoires,Souris,68.29,395,3.6,2025-01-30 10:25:45.743084,Puissant Apple Accessoires Souris Max. Longue autonomie. Idéal pour souris. Catégorie Accessoires.
95,HP Smart Home Thermostat Standard,Smart Home,Thermostat,289.28,96,4.6,2025-07-08 10:25:45.743084,Performant HP Smart Home Thermostat Standard. Interface intuitive. Idéal pour thermostat. Catégorie Smart Home.
96,Samsung Wearables Lunettes AR Pro,Wearables,Lunettes AR,461.41,149,4.3,2025-04-23 10:25:45.743084,Performant Samsung Wearables Lunettes AR Pro. Longue autonomie. Idéal pour lunettes ar. Catégorie Wearables.
97,HP Accessoires Souris Lite,Accessoires,Souris,13.69,445,4.7,2024-10-20 10:25:45.743084,Premium HP Accessoires Souris Lite. Longue autonomie. Idéal pour souris. Catégorie Accessoires.
98,Samsung Tablettes iPad Lite,Tablettes,iPad,446.59,444,4.5,2024-04-29 10:25:45.743084,Innovant Samsung Tablettes iPad Lite. Design moderne. Idéal pour ipad. Catégorie Tablettes.
99,Apple Tablettes Android Tablet Max,Tablettes,Android Tablet,205.84,79,4.9,2024-09-11 10:25:45.743084,Innovant Apple Tablettes Android Tablet Max. Longue autonomie. Idéal pour android tablet. Catégorie Tablettes.
100,Asus Smartphones Feature Phone Lite,Smartphones,Feature Phone,1370.2,16,4.8,2023-12-04 10:25:45.743084,Compact Asus Smartphones Feature Phone Lite. Longue autonomie. Idéal pour feature phone. Catégorie Smartphones.
101,Sony Accessoires Cable Pro,Accessoires,Cable,147.79,137,4.7,2024-03-05 10:25:45.743084,Polyvalent Sony Accessoires Cable Pro. Design moderne. Idéal pour cable. Catégorie Accessoires.
102,Acer Gaming Manette Max,Gaming,Manette,1993.01,139,4.2,2024-06-19 10:25:45.743084,Révolutionnaire Acer Gaming Manette Max. Design moderne. Idéal pour manette. Catégorie Gaming.
103,Asus Tablettes Windows Tablet Pro,Tablettes,Windows Tablet,467.28,338,4.0,2024-03-15 10:25:45.743084,Innovant Asus Tablettes Windows Tablet Pro. Interface intuitive. Idéal pour windows tablet. Catégorie Tablettes.
104,Samsung Smartphones iPhone Max,Smartphones,iPhone,1342.03,39,4.3,2024-03-29 10:25:45.743084,Puissant Samsung Smartphones iPhone Max. Connectivité avancée. Idéal pour iphone. Catégorie Smartphones.
105,Samsung Accessoires Housse Plus,Accessoires,Housse,124.58,406,4.3,2024-06-24 10:25:45.743084,Élégant Samsung Accessoires Housse Plus. Haute performance. Idéal pour housse. Catégorie Accessoires.
106,Asus Ordinateurs Desktop Pro,Ordinateurs,Desktop,1632.81,167,4.4,2024-09-14 10:25:45.743084,Élégant Asus Ordinateurs Desktop Pro. Design moderne. Idéal pour desktop. Catégorie Ordinateurs.
107,Samsung Photo Drone Plus,Photo,Drone,1346.09,73,3.8,2024-03-12 10:25:45.743084,Polyvalent Samsung Photo Drone Plus. Haute performance. Idéal pour drone. Catégorie Photo.
108,Asus Accessoires Housse Lite,Accessoires,Housse,150.29,73,4.5,2024-06-06 10:25:45.743084,Performant Asus Accessoires Housse Lite. Connectivité avancée. Idéal pour housse. Catégorie Accessoires.
109,HP Accessoires Casque Plus,Accessoires,Casque,181.79,49,4.2,2024-03-17 10:25:45.743084,Innovant HP Accessoires Casque Plus. Design moderne. Idéal pour casque. Catégorie Accessoires.
110,Asus Tablettes Android Tablet Plus,Tablettes,Android Tablet,397.07,9,4.4,2024-01-24 10:25:45.743084,Performant Asus Tablettes Android Tablet Plus. Design moderne. Idéal pour android tablet. Catégorie Tablettes.
111,Acer Wearables Bracelet Connecté Plus,Wearables,Bracelet Connecté,222.77,102,3.9,2025-01-13 10:25:45.743084,Performant Acer Wearables Bracelet Connecté Plus. Longue autonomie. Idéal pour bracelet connecté. Catégorie Wearables.
112,Asus Ordinateurs Desktop Standard,Ordinateurs,Desktop,2240.55,349,4.2,2024-02-27 10:25:45.743084,Premium Asus Ordinateurs Desktop Standard. Longue autonomie. Idéal pour desktop. Catégorie Ordinateurs.
113,LG Wearables Smartwatch Pro,Wearables,Smartwatch,783.88,387,3.8,2024-01-23 10:25:45.743084,Polyvalent LG Wearables Smartwatch Pro. Design moderne. Idéal pour smartwatch. Catégorie Wearables.
114,Acer Tablettes Android Tablet Max,Tablettes,Android Tablet,937.45,384,4.8,2023-11-24 10:25:45.743084,Révolutionnaire Acer Tablettes Android Tablet Max. Interface intuitive. Idéal pour android tablet. Catégorie Tablettes.
115,Xiaomi Wearables Lunettes AR Lite,Wearables,Lunettes AR,299.21,298,4.2,2025-03-14 10:25:45.743084,Puissant Xiaomi Wearables Lunettes AR Lite. Connectivité avancée. Idéal pour lunettes ar. Catégorie Wearables.
116,Samsung Photo Drone Plus,Photo,Drone,2273.79,338,3.8,2025-01-19 10:25:45.743084,Polyvalent Samsung Photo Drone Plus. Haute performance. Idéal pour drone. Catégorie Photo.
117,Lenovo Ordinateurs Ultrabook Standard,Ordinateurs,Ultrabook,1460.79,388,3.6,2023-12-18 10:25:45.743084,Révolutionnaire Lenovo Ordinateurs Ultrabook Standard. Longue autonomie. Idéal pour ultrabook. Catégorie Ordinateurs.
118,LG Gaming Jeux Standard,Gaming,Jeux,1733.77,477,4.5,2024-05-24 10:25:45.743084,Polyvalent LG Gaming Jeux Standard. Design moderne. Idéal pour jeux. Catégorie Gaming.
119,Sony Photo Objectif Plus,Photo,Objectif,3925.44,473,3.8,2024-02-23 10:25:45.743084,Élégant Sony Photo Objectif Plus. Haute performance. Idéal pour objectif. Catégorie Photo.
120,Asus Ordinateurs Desktop Standard,Ordinateurs,Desktop,1972.44,103,5.0,2023-12-08 10:25:45.743084,Innovant Asus Ordinateurs Desktop Standard. Design moderne. Idéal pour desktop. Catégorie Ordinateurs.
121,Xiaomi Ordinateurs Ultrabook Max,Ordinateurs,Ultrabook,1187.4,289,4.3,2025-09-10 10:25:45.743084,Élégant Xiaomi Ordinateurs Ultrabook Max. Interface intuitive. Idéal pour ultrabook. Catégorie Ordinateurs.
122,Sony Audio Écouteurs Standard,Audio,Écouteurs,470.85,449,3.9,2025-04-13 10:25:45.743084,Performant Sony Audio Écouteurs Standard. Longue autonomie. Idéal pour écouteurs. Catégorie Audio.
123,Sony Photo Objectif Max,Photo,Objectif,3370.58,279,4.5,2025-07-04 10:25:45.743084,Compact Sony Photo Objectif Max. Design moderne. Idéal pour objectif. Catégorie Photo.
124,LG Gaming Jeux Lite,Gaming,Jeux,1946.86,141,3.9,2024-01-04 10:25:45.743084,Performant LG Gaming Jeux Lite. Interface intuitive. Idéal pour jeux. Catégorie Gaming.
125,Sony Photo Drone Standard,Photo,Drone,3026.55,296,4.7,2025-02-27 10:25:45.743084,Performant Sony Photo Drone Standard. Longue autonomie. Idéal pour drone. Catégorie Photo.
126,HP Audio Casque Bluetooth Standard,Audio,Casque Bluetooth,415.96,169,4.0,2024-03-05 10:25:45.743084,Compact HP Audio Casque Bluetooth Standard. Haute performance. Idéal pour casque bluetooth. Catégorie Audio.
127,Asus Gaming Manette Plus,Gaming,Manette,1663.59,12,5.0,2024-07-21 10:25:45.743084,Premium Asus Gaming Manette Plus. Design moderne. Idéal pour manette. Catégorie Gaming.
128,LG Audio Soundbar Standard,Audio,Soundbar,188.54,156,4.4,2023-12-19 10:25:45.743084,Révolutionnaire LG Audio Soundbar Standard. Design moderne. Idéal pour soundbar. Catégorie Audio.
129,Dell Smartphones Feature Phone Max,Smartphones,Feature Phone,1453.23,448,4.8,2024-01-11 10:25:45.743084,Révolutionnaire Dell Smartphones Feature Phone Max. Haute performance. Idéal pour feature phone. Catégorie Smartphones.
130,Xiaomi Smart Home Éclairage Lite,Smart Home,Éclairage,59.87,173,3.6,2024-09-08 10:25:45.743084,Révolutionnaire Xiaomi Smart Home Éclairage Lite. Interface intuitive. Idéal pour éclairage. Catégorie Smart Home.
131,LG Ordinateurs Ultrabook Pro,Ordinateurs,Ultrabook,2421.78,161,4.0,2025-09-18 10:25:45.743084,Innovant LG Ordinateurs Ultrabook Pro. Interface intuitive. Idéal pour ultrabook. Catégorie Ordinateurs.
